RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
395201,636,"Wapakoneta, OH",msa,OH,,,,,,,125956.0,122489.0,124344.0,123951.0,129358.0,125194.0,131243.0,129442.0,131638.0,124945.0,127427.0,124349.0,124273.0,125909.0,130056.0,133716.0,131070.0,131677.0,135917.0,139620.0,139588.0,142579.0,146402.0,141881.0,132602.0,134286.0,146196.0,153724.0,148479.0,148222.0,140700.0,146839.0,148564.0,164659.0,167472.0,167354.0,166643.0,171130.0,162747.0,159461.0,162638.0,171110.0,171246.0,167663.0,166531.0,163383.0
753889,637,"Hillsdale, MI",msa,MI,112124.0,122312.0,119647.0,116166.0,104976.0,107167.0,111233.0,117899.0,115731.0,116548.0,115432.0,124374.0,130643.0,129216.0,123903.0,120273.0,128898.0,131738.0,140994.0,139047.0,145139.0,139353.0,143504.0,139557.0,147137.0,145160.0,150656.0,147795.0,150072.0,135840.0,141171.0,142066.0,153534.0,149584.0,150853.0,146679.0,149739.0,159072.0,162174.0,162245.0,162867.0,174437.0,180968.0,175280.0,173832.0,173810.0,181817.0,182147.0,181299.0,174914.0,169864.0,171843.0
394961,638,"Paragould, AR",msa,AR,116065.0,113213.0,113419.0,117108.0,120505.0,120779.0,117126.0,124639.0,134718.0,131061.0,131729.0,127149.0,134716.0,132285.0,137541.0,134214.0,136164.0,131195.0,129667.0,125782.0,131774.0,141417.0,147223.0,149724.0,142898.0,140806.0,146882.0,151639.0,163508.0,164098.0,161858.0,161779.0,158727.0,160110.0,158413.0,158871.0,163314.0,161995.0,161071.0,161135.0,162352.0,171655.0,175967.0,172913.0,175121.0,178718.0,182321.0,176997.0,164079.0,165995.0,167147.0,172269.0
394883,639,"Moultrie, GA",msa,GA,,,,,,,,,,,,,,,,,,,,,,,112663.0,112945.0,119395.0,130466.0,131357.0,128040.0,138833.0,134368.0,143414.0,140361.0,146981.0,156744.0,154960.0,166748.0,166173.0,175700.0,164745.0,166020.0,170049.0,210701.0,217094.0,212628.0,182701.0,166281.0,171052.0,177888.0,167971.0,154698.0,144654.0,162526.0
394375,640,"Bedford, IN",msa,IN,118205.0,128565.0,126435.0,114720.0,110710.0,107783.0,122402.0,126515.0,121104.0,112331.0,112471.0,125399.0,127386.0,126231.0,123925.0,124863.0,127232.0,128290.0,134580.0,129171.0,135324.0,138558.0,145656.0,138921.0,143668.0,144229.0,151840.0,146670.0,143352.0,143098.0,150316.0,156654.0,163698.0,157904.0,166414.0,162035.0,166499.0,169859.0,170292.0,176064.0,172336.0,186181.0,196742.0,202380.0,195571.0,184535.0,174077.0,159081.0,155841.0,159807.0,172711.0,169129.0
394850,642,"Menomonie, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229747.0,228940.0,227006.0,194338.0,198602.0,204005.0,209028.0,194397.0,201382.0,208064.0,217271.0,220775.0,220431.0,236102.0,238382.0,248500.0,231473.0,237800.0,238257.0,238280.0,227514.0,212439.0
753918,643,"Shawano, WI",msa,WI,,,,,,,,,,,,,,,,,,,133299.0,135987.0,144007.0,138498.0,142396.0,155455.0,158723.0,154650.0,147079.0,163254.0,162482.0,164065.0,157164.0,165458.0,159156.0,159031.0,158888.0,159128.0,160380.0,157992.0,169667.0,175250.0,178263.0,178006.0,180409.0,174277.0,167963.0,172664.0,180630.0,185967.0,190762.0,198795.0,195719.0,188016.0
394377,644,"Bellefontaine, OH",msa,OH,130788.0,124638.0,128361.0,124790.0,129957.0,130579.0,134683.0,132084.0,133416.0,134796.0,135045.0,131779.0,136131.0,133834.0,147623.0,162943.0,179526.0,182863.0,166680.0,161505.0,167461.0,171023.0,160151.0,151878.0,140322.0,132929.0,127276.0,136561.0,140870.0,142068.0,156923.0,156370.0,157633.0,133247.0,154652.0,154566.0,169012.0,174618.0,157468.0,164181.0,148708.0,166011.0,166646.0,179569.0,166713.0,169245.0,161429.0,177261.0,169496.0,178304.0,187020.0,187640.0
394667,647,"Harrison, AR",msa,AR,,,,,,,,,,,,,,,,,135412.0,132635.0,132965.0,145728.0,142568.0,142730.0,132738.0,134233.0,133396.0,138700.0,148745.0,160658.0,161759.0,159022.0,155363.0,160428.0,168271.0,168303.0,173284.0,175602.0,187439.0,190904.0,190549.0,195166.0,192416.0,198531.0,200370.0,202546.0,200524.0,196107.0,203013.0,210319.0,201901.0,203454.0,202847.0,214473.0
394677,649,"Henderson, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,128832.0,123193.0,128407.0,126331.0,143637.0,141345.0,150280.0,155613.0,157110.0,158219.0,141005.0,151137.0,148493.0,160621.0,153849.0,163981.0,158111.0,180671.0,173406.0,179733.0,167442.0,173911.0,188111.0,190061.0,205427.0,194631.0,185084.0,168237.0,168313.0,186150.0,203841.0,197015.0
394817,650,"Madisonville, KY",msa,KY,,,,,,,114502.0,111514.0,110035.0,114153.0,112164.0,123017.0,127958.0,126881.0,118350.0,96794.0,106499.0,104870.0,109014.0,108256.0,107569.0,114524.0,110135.0,112474.0,113228.0,113553.0,123987.0,126917.0,134253.0,123357.0,129897.0,127984.0,128577.0,128428.0,125786.0,126747.0,132379.0,130250.0,132278.0,129632.0,144106.0,151911.0,149758.0,145711.0,147484.0,151737.0,151138.0,147245.0,155245.0,148795.0,145087.0,137983.0
