".El Paso, TX Metro Area","1,945","4,228","11,026","6,798","-2,471",-118,"-2,353","2,375","5,303","13,829","8,526","-3,158",-197,"-2,961"
".Enid, OK Metro Area",-703,-13,798,811,-691,65,-756,-920,-39,976,"1,015",-882,68,-950
".Erie, PA Metro Area","-1,416",-842,"2,641","3,483",-619,142,-761,"-1,865",-993,"3,341","4,334",-907,146,"-1,053"
".Eugene-Springfield, OR Metro Area",249,"-1,388","3,061","4,449","1,583",82,"1,501",218,"-1,756","3,798","5,554","1,941",80,"1,861"
".Evansville, IN-KY Metro Area",16,-663,"3,437","4,100",638,100,538,-103,-921,"4,242","5,163",786,100,686
".Fairbanks, AK Metro Area",307,635,"1,276",641,-336,16,-352,-62,850,"1,628",778,-928,19,-947
".Fargo, ND-MN Metro Area","1,917","1,070","3,079","2,009",800,174,626,"2,293","1,450","3,953","2,503",781,167,614
".Farmington, NM Metro Area",-436,-120,"1,320","1,440",-339,21,-360,-668,-117,"1,693","1,810",-576,17,-593
".Fayetteville, NC Metro Area","4,234","2,553","7,592","5,039","1,593",249,"1,344","4,210","3,220","9,473","6,253",875,246,629
".Fayetteville-Springdale-Rogers, AR Metro Area","11,143","2,038","6,693","4,655","9,123",371,"8,752","13,984","2,600","8,351","5,751","11,364",390,"10,974"
".Flagstaff, AZ Metro Area",-64,122,"1,304","1,182",-218,52,-270,-49,221,"1,651","1,430",-306,51,-357
".Flint, MI Metro Area","-1,440","-1,194","4,387","5,581",-331,52,-383,"-2,003","-1,600","5,458","7,058",-477,51,-528
".Florence, SC Metro Area",-379,-720,"2,274","2,994",308,39,269,-705,-942,"2,813","3,755",209,39,170
".Florence-Muscle Shoals, AL Metro Area",671,-788,"1,496","2,284","1,455",33,"1,422",726,-936,"1,883","2,819","1,667",33,"1,634"
".Fond du Lac, WI Metro Area",286,-151,995,"1,146",424,32,392,208,-216,"1,240","1,456",416,34,382
".Fort Collins, CO Metro Area","2,847",201,"2,960","2,759","2,602",94,"2,508","3,467",237,"3,691","3,454","3,185",96,"3,089"
".Fort Smith, AR-OK Metro Area","1,236",-217,"3,031","3,248","1,420",44,"1,376","1,149",-253,"3,784","4,037","1,372",43,"1,329"
".Fort Wayne, IN Metro Area","2,830","1,082","5,469","4,387","1,675",248,"1,427","3,437","1,326","6,820","5,494","2,033",256,"1,777"
".Fresno, CA Metro Area","4,615","4,952","13,817","8,865",-608,9,-617,"4,927","6,103","17,245","11,142","-1,499",-26,"-1,473"
".Gadsden, AL Metro Area",-231,-551,"1,200","1,751",303,26,277,-274,-670,"1,487","2,157",385,27,358
".Gainesville, FL Metro Area","2,093",-251,"3,170","3,421","2,297",379,"1,918","2,509",-266,"3,940","4,206","2,731",391,"2,340"
".Gainesville, GA Metro Area","3,780",481,"2,503","2,022","3,304",83,"3,221","4,233",573,"3,117","2,544","3,662",85,"3,577"
".Gettysburg, PA Metro Area",332,-363,850,"1,213",688,8,680,275,-450,"1,063","1,513",726,8,718
".Glens Falls, NY Metro Area",-207,-640,"1,001","1,641",419,13,406,-465,-779,"1,281","2,060",310,13,297
".Goldsboro, NC Metro Area",-391,-117,"1,540","1,657",-292,81,-373,-498,-189,"1,893","2,082",-326,89,-415
".Grand Forks, ND-MN Metro Area",-651,237,"1,220",983,-894,50,-944,-900,278,"1,533","1,255","-1,186",46,"-1,232"
".Grand Island, NE Metro Area",-710,151,961,810,-854,93,-947,-863,204,"1,213","1,009","-1,062",93,"-1,155"
".Grand Junction, CO Metro Area","1,396",-348,"1,529","1,877","1,738",4,"1,734","1,632",-387,"1,911","2,298","2,019",3,"2,016"
".Grand Rapids-Kentwood, MI Metro Area","3,417","2,438","12,211","9,773",820,510,310,"4,028","3,117","15,451","12,334",740,541,199
".Grants Pass, OR Metro Area",241,-695,748,"1,443",940,4,936,256,-888,943,"1,831","1,160",4,"1,156"
".Great Falls, MT Metro Area",183,-63,961,"1,024",233,25,208,97,-79,"1,216","1,295",166,30,136
".Greeley, CO Metro Area","8,678","1,993","4,333","2,340","6,730",99,"6,631","11,055","2,569","5,467","2,898","8,503",97,"8,406"
".Green Bay, WI Metro Area","1,167",386,"3,517","3,131",715,62,653,"1,222",458,"4,382","3,924",698,65,633
".Greensboro-High Point, NC Metro Area","2,087",-805,"8,157","8,962","2,766",586,"2,180","2,282","-1,216","10,160","11,376","3,382",616,"2,766"
".Greenville, NC Metro Area","1,599",151,"1,931","1,780","1,430",33,"1,397","1,926",227,"2,421","2,194","1,676",33,"1,643"
".Greenville-Anderson, SC Metro Area","10,609",-661,"10,007","10,668","11,238",961,"10,277","12,579",-891,"12,526","13,417","13,439","1,019","12,420"
".Gulfport-Biloxi, MS Metro Area","1,770",-450,"4,755","5,205","2,157",123,"2,034","1,823",-697,"5,872","6,569","2,462",136,"2,326"
